TIME,Process_69a,Process_69b,Process_96-97a,Process_96-97b,Process_131a,Process_131b,Process_131c,Process_131d,Process_131e,Process_131f,Process_131g,Process_131h,Process_131i,Process_131j
1,179.86598,187.67717,208.1568,202.1701,183.2412,175.6817,169.88443,166.79752,159.05409,163.06311,150.42947,141.29312,135.02032,130.98547
2,179.97614,187.61511,208.1149,202.1576,183.23341,175.685,169.86522,166.75499,159.05414,163.05591,150.4063,141.28491,134.97823,130.94844
3,180.08577,187.37088,208.0615,202.1535,183.20934,175.7075,169.83829,166.74121,159.03908,163.03334,150.34464,141.33997,134.98967,130.91875
4,180.09503,186.94501,208.0362,202.1656,183.21754,175.72153,169.90401,166.75455,159.06267,163.08598,150.42479,141.35593,135.00681,130.92566
5,180.18878,186.5788,208.0489,202.1813,183.22351,175.7502,169.8484,166.81071,159.08905,163.06784,150.39082,141.39047,134.99646,130.89023
6,180.47786,186.47121,207.9864,202.1743,183.14194,175.70514,169.81984,166.73988,159.0739,163.05354,150.41087,141.41383,135.01294,130.8853
7,180.49188,186.27748,207.8809,202.093,183.15195,175.71188,169.82234,166.77725,159.1068,163.02567,150.38657,141.40279,135.04436,130.90144
8,180.60077,186.35637,207.9682,202.2139,183.11969,175.73967,169.79401,166.75194,159.04288,162.97571,150.3494,141.41078,135.01157,130.84581
9,180.56776,186.38895,207.9531,202.2325,183.07205,175.71085,169.80048,166.76411,159.0666,162.97797,150.3593,141.40057,135.03914,130.89438
10,180.42567,186.39201,207.9473,202.2633,183.08311,175.73869,169.84908,166.75146,159.0518,162.99315,150.32146,141.41563,135.06685,130.87891
11,180.41566,186.60934,207.916,202.2604,183.02838,175.73851,169.78635,166.70689,159.02998,162.97482,150.29984,141.3927,135.06711,130.85347
12,180.54347,187.18747,207.9186,202.3173,183.05424,175.74525,169.81406,166.76099,159.04616,162.98306,150.31445,141.36868,135.05481,130.82574
13,180.20985,187.31174,207.913,202.3679,182.98837,175.77451,169.71808,166.75259,159.0197,162.92528,150.27306,141.38373,135.0416,130.84726
14,180.11534,187.59003,207.8799,202.3625,183.00504,175.73463,169.7487,166.77617,158.99472,162.88812,150.2666,141.35645,134.99846,130.78043
15,180.22151,187.82991,207.7663,202.245,182.92244,175.67783,169.72342,166.70024,158.98599,162.87752,150.27972,141.33913,135.01431,130.85481
16,180.14709,187.75485,207.884,202.3861,182.93933,175.70757,169.7141,166.73671,159.0284,162.8416,150.27478,141.31657,135.03212,130.81062
17,180.18376,187.4389,207.8547,202.3623,182.93512,175.68594,169.6678,166.73845,158.94286,162.79523,150.23318,141.26071,134.99774,130.77657
18,180.11073,187.03908,207.8566,202.3875,182.95099,175.68523,169.68741,166.68243,158.91685,162.75624,150.23416,141.2402,134.99104,130.7401
19,180.13339,186.59395,207.8991,202.4164,182.91223,175.61864,169.65588,166.63527,158.87962,162.69702,150.18097,141.17421,134.97031,130.69397
20,180.11115,186.26105,207.9148,202.4396,182.93021,175.59956,169.70915,166.67015,158.90427,162.7106,150.23283,141.21465,134.97362,130.69856
21,180.2495,186.18889,207.9248,202.4245,182.8829,175.57645,169.6792,166.63911,158.87112,162.71454,150.17465,141.18069,134.95065,130.67166
22,180.20222,186.18582,207.8683,202.3561,182.86189,175.55165,169.68102,166.68326,158.84869,162.69084,150.19463,141.18048,134.9339,130.59895
23,180.43446,186.59857,207.8862,202.4211,182.84077,175.5246,169.65894,166.68304,158.85629,162.70601,150.22646,141.11996,134.93765,130.58337
24,180.64565,186.95859,207.9893,202.5209,182.8472,175.46805,169.63406,166.65031,158.81606,162.72078,150.19894,141.12715,134.92416,130.62714
25,180.88144,187.50096,207.971,202.501,182.83656,175.39607,169.57707,166.61626,158.76222,162.70003,150.19876,141.04652,134.89127,130.59801
26,181.05879,187.95436,208.0189,202.571,182.78571,175.34627,169.55511,166.61127,158.76495,162.69994,150.20999,141.04471,134.86978,130.57239
